cycle,'EXOTIC',length(trees where ((each.type = EXOTIC) and (each.state = SEEDLING))),length(trees where ((each.type = EXOTIC) and (each.state = SAPLING))),length(trees where ((each.type = EXOTIC) and (each.state = POLE))),length(trees where ((each.type = EXOTIC) and (each.state = ADULT)))
0,EXOTIC,0,0,35698,26732
1,EXOTIC,0,0,35451,26700
2,EXOTIC,0,0,35249,26681
3,EXOTIC,0,0,35024,26653
4,EXOTIC,0,0,34793,26628
5,EXOTIC,0,0,34538,26602
6,EXOTIC,0,0,34291,26577
7,EXOTIC,0,0,34084,26551
8,EXOTIC,0,0,33855,26525
9,EXOTIC,0,0,33628,26497
10,EXOTIC,0,0,32309,27588
11,EXOTIC,0,0,31499,28145
12,EXOTIC,0,0,31280,28124
13,EXOTIC,0,0,30883,28263
14,EXOTIC,0,0,30676,28234
15,EXOTIC,0,0,30482,28208
16,EXOTIC,0,0,30275,28178
17,EXOTIC,0,0,29795,28430
18,EXOTIC,0,0,29621,28395
19,EXOTIC,0,0,29433,28370
20,EXOTIC,0,0,29263,28346
21,EXOTIC,0,0,29063,28317
22,EXOTIC,0,0,28900,28289
23,EXOTIC,0,0,28714,28265
24,EXOTIC,0,0,28532,28242
25,EXOTIC,26336,0,28367,28205
26,EXOTIC,25569,0,28188,28166
27,EXOTIC,24814,0,28016,28131
28,EXOTIC,24106,0,27867,28103
29,EXOTIC,23416,0,27711,28067
30,EXOTIC,22758,0,27556,28039
31,EXOTIC,22118,0,26417,29004
32,EXOTIC,21467,0,25691,29549
33,EXOTIC,20838,0,25516,29518
34,EXOTIC,20231,0,25348,29496
35,EXOTIC,19678,0,25192,29467
36,EXOTIC,19133,0,25053,29446
37,EXOTIC,20589,0,24913,29416
38,EXOTIC,20031,0,24784,29394
39,EXOTIC,1893,17561,24471,29528
40,EXOTIC,1854,17091,24339,29493
41,EXOTIC,1813,16612,24180,29467
42,EXOTIC,1757,16162,24057,29438
43,EXOTIC,1707,15742,23911,29392
44,EXOTIC,1657,15324,23779,29367
45,EXOTIC,1591,14892,23633,29339
46,EXOTIC,1550,14504,23512,29309
47,EXOTIC,1510,14108,23389,29269
48,EXOTIC,1461,13752,23256,29234
49,EXOTIC,27228,13367,23129,29208
50,EXOTIC,26443,12988,23011,29180
51,EXOTIC,24246,13953,22874,29175
52,EXOTIC,23523,13601,22546,29351
53,EXOTIC,22858,13243,22418,29326
54,EXOTIC,22195,12880,22297,29301
55,EXOTIC,21532,12541,22174,29260
56,EXOTIC,20906,12218,22070,29234
57,EXOTIC,20284,11883,21949,29211
58,EXOTIC,19721,11563,21813,29181
59,EXOTIC,19184,11266,21699,29154
60,EXOTIC,18637,10974,21586,29126
61,EXOTIC,21585,10703,21483,29093
62,EXOTIC,20992,10426,21385,29065
63,EXOTIC,3283,27309,20279,30027
64,EXOTIC,3197,26589,19696,30452
65,EXOTIC,3098,25873,18365,31640
66,EXOTIC,3016,25176,18111,31750
67,EXOTIC,2922,24488,18020,31711
68,EXOTIC,2848,23903,17919,31678
69,EXOTIC,2763,23249,17835,31660
70,EXOTIC,2667,22601,17744,31630
71,EXOTIC,2592,22012,17650,31619
72,EXOTIC,2514,21473,17564,31594
73,EXOTIC,28106,20919,17461,31558
74,EXOTIC,27273,20404,17372,31524
75,EXOTIC,24118,22207,17276,31490
76,EXOTIC,23437,21665,16111,32520
77,EXOTIC,22778,21082,15088,33411
78,EXOTIC,22101,20534,14442,33929
79,EXOTIC,21421,20009,14231,34026
80,EXOTIC,20785,19489,14086,34040
81,EXOTIC,20188,18969,13930,34079
82,EXOTIC,19593,18503,13820,34085
83,EXOTIC,19055,18017,13757,34045
84,EXOTIC,18495,17579,13678,34010
85,EXOTIC,23755,17155,13607,33980
86,EXOTIC,23064,16728,13523,33944
87,EXOTIC,5446,33259,13448,33920
88,EXOTIC,5292,32397,13382,33876
89,EXOTIC,5155,31568,13296,33847
90,EXOTIC,4996,30729,13234,33802
91,EXOTIC,4857,29889,13163,33782
92,EXOTIC,4740,29155,13103,33741
93,EXOTIC,4627,28445,13041,33710
94,EXOTIC,4495,27678,12986,33667
95,EXOTIC,4382,26955,12835,33717
96,EXOTIC,4273,26254,12719,33747
97,EXOTIC,31441,25615,12599,33759
98,EXOTIC,30525,24964,11857,34413
99,EXOTIC,25719,28259,11321,34856
100,EXOTIC,24996,27557,11201,34873
101,EXOTIC,24270,26854,11148,34845
102,EXOTIC,23529,26210,11088,34810
103,EXOTIC,22849,25593,11024,34772
104,EXOTIC,22194,24975,10961,34739
105,EXOTIC,21574,24375,10863,34735
106,EXOTIC,20982,23792,10724,34793
107,EXOTIC,20365,23228,10590,34832
